pattern,n,operation,structure,time_us
Partially Sorted,9000,Batch Insert,AVLTreeMap,987.44
Partially Sorted,10000,Batch Insert,AVLTreeMap,1151.28
Partially Sorted,100,Batch Insert,TreeMap,3.48
Partially Sorted,200,Batch Insert,TreeMap,8.32
Partially Sorted,300,Batch Insert,TreeMap,15.14
Partially Sorted,400,Batch Insert,TreeMap,20.04
Partially Sorted,500,Batch Insert,TreeMap,23.8
Partially Sorted,600,Batch Insert,TreeMap,35.24
Partially Sorted,700,Batch Insert,TreeMap,38.84
Partially Sorted,800,Batch Insert,TreeMap,52.48
Partially Sorted,900,Batch Insert,TreeMap,53.96
Partially Sorted,1000,Batch Insert,TreeMap,78.5
Partially Sorted,1500,Batch Insert,TreeMap,112.74
Partially Sorted,2000,Batch Insert,TreeMap,154.26
Partially Sorted,2500,Batch Insert,TreeMap,201.14
Partially Sorted,3000,Batch Insert,TreeMap,252.46
Partially Sorted,3500,Batch Insert,TreeMap,298.98
Partially Sorted,4000,Batch Insert,TreeMap,343.8
Partially Sorted,4500,Batch Insert,TreeMap,390.94
Partially Sorted,5000,Batch Insert,TreeMap,436.06
Partially Sorted,6000,Batch Insert,TreeMap,573.9
Partially Sorted,7000,Batch Insert,TreeMap,627.66
Partially Sorted,8000,Batch Insert,TreeMap,794.96
Partially Sorted,9000,Batch Insert,TreeMap,998.46
Partially Sorted,10000,Batch Insert,TreeMap,1036.84
Random,100,Single Insert,Treap,1.037
Random,200,Single Insert,Treap,0.321
Random,300,Single Insert,Treap,0.285
Random,400,Single Insert,Treap,0.18
Random,500,Single Insert,Treap,0.108
Random,600,Single Insert,Treap,0.053
Random,700,Single Insert,Treap,0.075
Random,800,Single Insert,Treap,0.091
Random,900,Single Insert,Treap,0.087
Random,1000,Single Insert,Treap,0.083
Random,1500,Single Insert,Treap,0.074
Random,2000,Single Insert,Treap,0.103
Random,2500,Single Insert,Treap,0.085
Random,3000,Single Insert,Treap,0.069
Random,3500,Single Insert,Treap,0.112
Random,4000,Single Insert,Treap,0.083
Random,4500,Single Insert,Treap,0.097
Random,5000,Single Insert,Treap,0.069
Random,6000,Single Insert,Treap,0.084
Random,7000,Single Insert,Treap,0.065
Random,8000,Single Insert,Treap,0.052
Random,9000,Single Insert,Treap,0.058
Random,10000,Single Insert,Treap,0.057
Random,100,Single Insert,AVLTreeMap,0.538
Random,200,Single Insert,AVLTreeMap,0.286
Random,300,Single Insert,AVLTreeMap,0.315
Random,400,Single Insert,AVLTreeMap,0.264
Random,500,Single Insert,AVLTreeMap,0.241
Random,600,Single Insert,AVLTreeMap,0.088
Random,700,Single Insert,AVLTreeMap,0.069
Random,800,Single Insert,AVLTreeMap,0.066
Random,900,Single Insert,AVLTreeMap,0.104
Random,1000,Single Insert,AVLTreeMap,0.099
Random,1500,Single Insert,AVLTreeMap,0.091
Random,2000,Single Insert,AVLTreeMap,0.109
Random,2500,Single Insert,AVLTreeMap,0.093
Random,3000,Single Insert,AVLTreeMap,0.089
Random,3500,Single Insert,AVLTreeMap,0.111
Random,4000,Single Insert,AVLTreeMap,0.087
Random,4500,Single Insert,AVLTreeMap,0.065
Random,5000,Single Insert,AVLTreeMap,0.091
Random,6000,Single Insert,AVLTreeMap,0.067
Random,7000,Single Insert,AVLTreeMap,0.086
Random,8000,Single Insert,AVLTreeMap,0.067
Random,9000,Single Insert,AVLTreeMap,0.091
Random,10000,Single Insert,AVLTreeMap,0.06
Random,100,Single Insert,TreeMap,0.276
Random,200,Single Insert,TreeMap,0.323
Random,300,Single Insert,TreeMap,0.196
Random,400,Single Insert,TreeMap,0.055
Random,500,Single Insert,TreeMap,0.043
Random,600,Single Insert,TreeMap,0.045
Random,700,Single Insert,TreeMap,0.042
Random,800,Single Insert,TreeMap,0.099
Random,900,Single Insert,TreeMap,0.13
Random,1000,Single Insert,TreeMap,0.335
Random,1500,Single Insert,TreeMap,0.249
Random,2000,Single Insert,TreeMap,0.043
Random,2500,Single Insert,TreeMap,0.059
Random,3000,Single Insert,TreeMap,0.058
Random,3500,Single Insert,TreeMap,0.057
Random,4000,Single Insert,TreeMap,0.036
Random,4500,Single Insert,TreeMap,0.034
Random,5000,Single Insert,TreeMap,0.035
Random,6000,Single Insert,TreeMap,0.035
Random,7000,Single Insert,TreeMap,0.036
Random,8000,Single Insert,TreeMap,0.04
Random,9000,Single Insert,TreeMap,0.034
Random,10000,Single Insert,TreeMap,0.039
Sorted Ascending,100,Single Insert,Treap,0.028
Sorted Ascending,200,Single Insert,Treap,0.055
Sorted Ascending,300,Single Insert,Treap,0.043
